Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Wage/Salaries,0,Male,73,2
Wage/Salaries,220000,Male,55,2
Enterpreneurial Activities,0,Female,81,0
Wage/Salaries,710,Male,48,3
Wage/Salaries,0,Male,29,1
Wage/Salaries,1855,Female,65,1
Other sources of Income,750,Female,28,2
Enterpreneurial Activities,0,Male,65,2
Wage/Salaries,12199,Female,48,2
Wage/Salaries,23497,Male,43,2
Other sources of Income,0,Female,64,0
Other sources of Income,1396,Female,50,1
Wage/Salaries,35289,Male,45,1
Wage/Salaries,882,Male,32,1
Enterpreneurial Activities,1571,Male,45,1
Wage/Salaries,0,Male,44,2
Enterpreneurial Activities,2751,Male,39,0
Wage/Salaries,1203,Male,41,1
Wage/Salaries,734,Male,70,1
Wage/Salaries,427,Male,34,2
Wage/Salaries,1849,Female,47,2
Wage/Salaries,1896,Male,30,1
Wage/Salaries,1007,Female,57,5
Wage/Salaries,31269,Male,49,2
Wage/Salaries,5318,Male,43,1
Enterpreneurial Activities,0,Male,60,0
Wage/Salaries,1456,Male,54,1
Enterpreneurial Activities,1054,Male,58,0
Wage/Salaries,1600,Male,43,2
Wage/Salaries,609,Male,54,2
Wage/Salaries,2789,Female,66,2
Wage/Salaries,1922,Male,38,1
Other sources of Income,150,Male,69,2
Wage/Salaries,1790,Male,55,1
Wage/Salaries,4620,Male,45,5
Wage/Salaries,736,Male,47,2
Wage/Salaries,3860,Male,48,5
Wage/Salaries,359,Male,78,1
Wage/Salaries,950,Male,36,2
Wage/Salaries,0,Male,70,1
Wage/Salaries,0,Male,29,2
Wage/Salaries,0,Male,26,1
Other sources of Income,39100,Female,62,1
Wage/Salaries,0,Male,40,2
Other sources of Income,0,Female,39,0
Wage/Salaries,21392,Male,48,1
Wage/Salaries,1250,Male,32,1
Wage/Salaries,550,Female,64,0
Wage/Salaries,94278,Male,49,2
Other sources of Income,0,Male,63,1
Wage/Salaries,0,Male,82,2
Wage/Salaries,0,Male,60,1
Enterpreneurial Activities,19700,Female,52,0
Wage/Salaries,403,Male,37,1
Enterpreneurial Activities,23400,Male,49,0
Other sources of Income,1000,Male,50,1
Wage/Salaries,0,Male,41,0
Wage/Salaries,1644,Male,46,2
Enterpreneurial Activities,1300,Male,26,0
Other sources of Income,0,Male,50,0
Enterpreneurial Activities,912,Female,79,0
Wage/Salaries,13800,Male,49,1
Wage/Salaries,0,Male,66,0
Wage/Salaries,860,Male,47,0
Other sources of Income,0,Female,66,0
Enterpreneurial Activities,0,Male,58,0
Wage/Salaries,18000,Male,57,2
Other sources of Income,0,Male,66,2
Wage/Salaries,150540,Male,55,2
Enterpreneurial Activities,0,Male,58,0
Wage/Salaries,23798,Male,48,3
Wage/Salaries,1690,Male,45,3
Wage/Salaries,0,Male,43,1
Other sources of Income,4950,Male,37,0
Other sources of Income,0,Female,76,1
Wage/Salaries,3500,Female,41,1
Wage/Salaries,5114,Male,27,1
Wage/Salaries,0,Male,60,2
Other sources of Income,7500,Female,63,2
Wage/Salaries,0,Female,62,3
Other sources of Income,55540,Male,37,0
Enterpreneurial Activities,590,Male,35,2
Enterpreneurial Activities,13014,Male,46,1
Enterpreneurial Activities,0,Male,51,0
Wage/Salaries,8000,Female,50,2
Other sources of Income,0,Male,65,1
Other sources of Income,0,Male,47,1
Wage/Salaries,22400,Male,52,5
Other sources of Income,0,Male,71,0
Wage/Salaries,3975,Male,64,1
Enterpreneurial Activities,0,Female,61,1
Other sources of Income,30350,Male,66,2
Other sources of Income,0,Female,73,0
Other sources of Income,1100,Male,55,1
Other sources of Income,0,Male,90,2
Other sources of Income,23410,Male,47,1
Wage/Salaries,0,Male,61,1
Enterpreneurial Activities,32000,Male,46,0
Wage/Salaries,57400,Female,58,2
Other sources of Income,50580,Male,63,0
Wage/Salaries,1490,Male,38,1
Other sources of Income,0,Male,70,0
Wage/Salaries,2040,Male,53,3
Wage/Salaries,760,Male,28,1
Wage/Salaries,2002,Male,53,3
Wage/Salaries,0,Female,59,4
Other sources of Income,0,Female,62,0
Wage/Salaries,11480,Male,43,3
Wage/Salaries,1350,Male,38,1
Wage/Salaries,0,Male,55,3
Wage/Salaries,11804,Male,47,2
Other sources of Income,0,Male,56,0
Wage/Salaries,660,Female,58,2
Other sources of Income,0,Female,60,0
Wage/Salaries,1800,Female,60,2
Wage/Salaries,580,Male,63,1
Other sources of Income,330,Male,68,0
Wage/Salaries,3055,Female,42,2
Wage/Salaries,47734,Male,47,1
Wage/Salaries,1800,Male,54,2
Wage/Salaries,38300,Male,58,1
Wage/Salaries,0,Male,53,8
Other sources of Income,1430,Female,78,0
Wage/Salaries,1780,Male,43,2
Wage/Salaries,1370,Male,55,1
Wage/Salaries,0,Male,25,1
Wage/Salaries,3275,Male,71,3
Wage/Salaries,11830,Male,52,4
Wage/Salaries,1327,Male,43,1
Enterpreneurial Activities,12200,Male,56,0
Wage/Salaries,0,Male,53,1
Enterpreneurial Activities,0,Male,35,0
Wage/Salaries,48200,Male,44,3
Wage/Salaries,2175,Male,35,1
Wage/Salaries,11600,Male,65,1
Enterpreneurial Activities,44,Male,84,1
Wage/Salaries,0,Female,70,1
Wage/Salaries,0,Male,55,2
Wage/Salaries,47300,Male,50,3
Enterpreneurial Activities,3450,Male,38,0
Enterpreneurial Activities,0,Female,78,0
Other sources of Income,0,Male,63,1
Wage/Salaries,2069,Male,36,1
Wage/Salaries,1388,Male,35,1
Wage/Salaries,150,Male,43,1
Enterpreneurial Activities,865,Male,58,1
Wage/Salaries,1740,Male,41,2
Enterpreneurial Activities,1372,Male,45,1
Wage/Salaries,1835,Male,42,1
Wage/Salaries,15000,Male,34,1
Wage/Salaries,16600,Male,66,2
Wage/Salaries,4295,Male,41,2
Wage/Salaries,4345,Male,50,3
Other sources of Income,19950,Male,36,1
Enterpreneurial Activities,65860,Male,36,0
Wage/Salaries,0,Male,59,2
Wage/Salaries,17030,Male,49,2
Other sources of Income,0,Male,64,2
Wage/Salaries,9000,Female,66,2
Wage/Salaries,45500,Male,45,3
Wage/Salaries,46600,Male,50,1
Wage/Salaries,100,Male,72,2
Wage/Salaries,0,Male,30,1
Wage/Salaries,500,Male,58,1
Wage/Salaries,1028,Male,34,2
Wage/Salaries,0,Male,55,2
Wage/Salaries,0,Female,48,3
Wage/Salaries,588,Male,37,2
Wage/Salaries,770,Female,36,1
Wage/Salaries,60,Male,71,2
Other sources of Income,71840,Female,49,0
Enterpreneurial Activities,23000,Male,41,0
Other sources of Income,9500,Female,47,1
Wage/Salaries,0,Male,32,1
Enterpreneurial Activities,36870,Male,50,0
Wage/Salaries,0,Male,61,1
Other sources of Income,75000,Female,50,0
Wage/Salaries,20856,Male,65,3
Other sources of Income,0,Male,82,0
Enterpreneurial Activities,0,Male,30,0
Wage/Salaries,0,Female,39,2
Enterpreneurial Activities,5530,Male,53,1
Other sources of Income,5629,Male,42,1
Wage/Salaries,0,Male,34,1
Other sources of Income,0,Female,35,0
Wage/Salaries,5330,Male,46,1
Enterpreneurial Activities,36750,Male,48,0
Enterpreneurial Activities,79100,Male,37,0
Wage/Salaries,1800,Male,63,3
Other sources of Income,130,Female,49,1
Wage/Salaries,2280,Female,39,1
Wage/Salaries,1200,Male,40,2
Wage/Salaries,1750,Male,57,3
Wage/Salaries,856,Male,40,1
Wage/Salaries,0,Male,38,1
Enterpreneurial Activities,3207,Male,53,0
Wage/Salaries,0,Male,34,2
Wage/Salaries,25600,Male,41,2
Enterpreneurial Activities,1820,Male,47,1
Wage/Salaries,2650,Male,58,2
Other sources of Income,0,Female,55,1
Wage/Salaries,2650,Male,35,1
Wage/Salaries,1050,Male,24,1
Wage/Salaries,2800,Female,34,1
Wage/Salaries,5065,Male,38,1
Other sources of Income,8546,Female,39,0
Other sources of Income,150,Male,77,2
Wage/Salaries,1579,Female,57,4
Wage/Salaries,1800,Male,49,2
Enterpreneurial Activities,1770,Male,48,2
Wage/Salaries,2030,Male,53,1
Other sources of Income,3206,Female,68,0
Wage/Salaries,2930,Male,54,2
Wage/Salaries,3030,Male,51,1
Wage/Salaries,0,Male,57,1
Wage/Salaries,750,Male,34,1
Enterpreneurial Activities,0,Male,58,0
Enterpreneurial Activities,0,Male,53,1
Enterpreneurial Activities,320,Male,60,1
Wage/Salaries,0,Male,38,1
Wage/Salaries,0,Male,48,5
Wage/Salaries,31241,Female,41,1
Wage/Salaries,750,Male,50,4
Other sources of Income,385,Male,53,1
Wage/Salaries,100,Female,49,2
Wage/Salaries,0,Male,28,1
Wage/Salaries,0,Male,55,2
Wage/Salaries,85950,Male,52,2
Wage/Salaries,0,Male,61,2
Wage/Salaries,18400,Female,65,3
Wage/Salaries,0,Male,61,2
Enterpreneurial Activities,0,Male,51,0
Wage/Salaries,1380,Male,43,4
Wage/Salaries,200,Male,39,1
Wage/Salaries,0,Male,65,2
Wage/Salaries,0,Male,55,3
Other sources of Income,18000,Female,74,2
Wage/Salaries,350,Female,57,4
Other sources of Income,38240,Female,35,0
Wage/Salaries,10200,Male,54,4
Wage/Salaries,0,Male,50,1
Wage/Salaries,0,Male,31,2
Other sources of Income,0,Female,50,2
Wage/Salaries,0,Female,50,4
Wage/Salaries,6000,Male,44,2
Wage/Salaries,10250,Male,49,1
Other sources of Income,20066,Male,84,2
Wage/Salaries,1150,Male,36,1
Other sources of Income,19000,Female,69,1
Wage/Salaries,9041,Male,39,2
Other sources of Income,0,Male,82,1
Wage/Salaries,0,Male,55,2
Wage/Salaries,9200,Male,44,3
Enterpreneurial Activities,475,Female,30,1
Wage/Salaries,1940,Male,43,2
Wage/Salaries,0,Male,75,1
Wage/Salaries,230,Male,40,1
Wage/Salaries,0,Male,62,1
Enterpreneurial Activities,1000,Male,43,0
Wage/Salaries,250,Male,27,2
Wage/Salaries,7200,Male,45,1
Wage/Salaries,15700,Male,21,1
Enterpreneurial Activities,290,Male,47,1
Wage/Salaries,1073,Male,35,1
Enterpreneurial Activities,1637,Male,37,0
Enterpreneurial Activities,0,Male,61,1
Other sources of Income,39900,Female,21,3
Other sources of Income,0,Male,48,1
Other sources of Income,48560,Female,38,0
Wage/Salaries,600,Female,56,4
Wage/Salaries,7102,Male,44,1
Other sources of Income,0,Male,74,1
Other sources of Income,30450,Female,22,0
Other sources of Income,260,Male,74,0
Wage/Salaries,590,Male,56,0
Wage/Salaries,1000,Female,57,1
Wage/Salaries,3590,Male,35,1
Wage/Salaries,1652,Male,51,2
Wage/Salaries,0,Male,75,2
Wage/Salaries,22400,Male,54,1
Wage/Salaries,700,Male,38,1
Other sources of Income,1690,Male,50,0
Wage/Salaries,0,Male,47,1
Wage/Salaries,45050,Male,44,1
Enterpreneurial Activities,51250,Male,55,1
Wage/Salaries,836,Male,34,0
Other sources of Income,10800,Female,40,1
Wage/Salaries,3350,Male,42,1
Wage/Salaries,610,Female,29,2
Other sources of Income,46789,Female,43,2
Wage/Salaries,2705,Male,40,2
Wage/Salaries,586,Male,57,2
Other sources of Income,2790,Female,42,1
Wage/Salaries,27550,Male,51,1
Wage/Salaries,10000,Female,80,1
Other sources of Income,590,Male,65,1
Other sources of Income,10560,Male,41,1
Other sources of Income,100950,Male,43,1
Other sources of Income,0,Male,70,0
Other sources of Income,81490,Male,48,0
Wage/Salaries,0,Male,48,1
Enterpreneurial Activities,0,Female,75,0
Wage/Salaries,3250,Male,45,2
Wage/Salaries,1393,Male,39,2
Wage/Salaries,38932,Male,35,1
Other sources of Income,316,Female,70,0
Wage/Salaries,0,Male,49,2
Wage/Salaries,43824,Male,45,4
Wage/Salaries,340,Male,42,2
Wage/Salaries,1372,Male,39,2
Wage/Salaries,72,Male,35,1
Other sources of Income,0,Male,40,1
Other sources of Income,0,Male,60,0
Other sources of Income,400,Female,48,1
Wage/Salaries,0,Female,46,1
Wage/Salaries,0,Male,26,1
Wage/Salaries,6980,Male,68,2
Wage/Salaries,500,Female,58,1
Enterpreneurial Activities,0,Female,79,0
Wage/Salaries,1139,Male,42,3
Wage/Salaries,560,Male,44,0
Other sources of Income,1288,Male,63,2
Other sources of Income,116200,Female,42,1
Wage/Salaries,4924,Male,36,1
Wage/Salaries,1000,Male,73,1
Wage/Salaries,892,Female,64,2
Wage/Salaries,1700,Male,28,1
Wage/Salaries,980,Male,42,1
Other sources of Income,10200,Male,71,2
Wage/Salaries,1096,Male,59,2
Wage/Salaries,1430,Male,43,2
Other sources of Income,1178,Female,79,1
Enterpreneurial Activities,650,Male,62,1
Enterpreneurial Activities,0,Male,59,0
Other sources of Income,0,Male,98,0
Other sources of Income,0,Female,74,0
Other sources of Income,490,Male,58,1
Other sources of Income,1430,Male,72,0
Other sources of Income,0,Male,72,0
Wage/Salaries,0,Male,63,1
Wage/Salaries,0,Male,48,2
Other sources of Income,360,Male,72,1
Wage/Salaries,0,Male,73,2
Other sources of Income,0,Female,70,1
Enterpreneurial Activities,150,Male,45,0
Wage/Salaries,0,Male,57,2
Enterpreneurial Activities,6750,Male,46,1
Wage/Salaries,1346,Male,38,1
Enterpreneurial Activities,2100,Male,60,1
Wage/Salaries,175,Male,52,1
Wage/Salaries,11173,Male,38,1
Wage/Salaries,0,Male,50,2
Other sources of Income,0,Female,60,0
Wage/Salaries,0,Male,65,4
Wage/Salaries,1640,Female,32,2
Wage/Salaries,150,Female,71,3
Other sources of Income,7000,Female,26,2
Wage/Salaries,400,Male,58,1
Other sources of Income,400,Male,40,1
Other sources of Income,2885,Male,58,1
Wage/Salaries,1500,Male,44,1
Enterpreneurial Activities,970,Male,56,0
Other sources of Income,16600,Male,57,1
Other sources of Income,0,Male,61,0
Other sources of Income,5580,Male,41,1
Other sources of Income,2402,Male,58,0
Wage/Salaries,0,Female,71,1
Wage/Salaries,700,Male,69,1
Other sources of Income,0,Female,89,0
Wage/Salaries,0,Female,79,2
Wage/Salaries,0,Male,31,2
Other sources of Income,550,Male,80,1
Other sources of Income,70,Female,31,1
Wage/Salaries,0,Female,47,1
Wage/Salaries,70,Female,46,1
Wage/Salaries,925,Male,59,2
Wage/Salaries,0,Female,57,2
Enterpreneurial Activities,0,Male,48,0
Wage/Salaries,0,Male,47,3
Other sources of Income,0,Male,74,0
Other sources of Income,8300,Female,54,1
Wage/Salaries,0,Female,73,1
Wage/Salaries,405,Male,54,2
Wage/Salaries,760,Male,48,2
Wage/Salaries,8600,Male,44,3
Wage/Salaries,270,Male,41,2
Enterpreneurial Activities,13700,Male,53,0
Wage/Salaries,12762,Male,44,1
Other sources of Income,2780,Male,37,1
Other sources of Income,0,Female,78,1
Other sources of Income,0,Female,58,0
Other sources of Income,240,Male,53,0
Enterpreneurial Activities,940,Male,43,2
Other sources of Income,1370,Male,77,0
Other sources of Income,0,Male,57,1
Enterpreneurial Activities,1538,Male,50,1
Other sources of Income,0,Male,65,2
Other sources of Income,890,Male,76,1
Other sources of Income,570,Female,48,0
Enterpreneurial Activities,240,Female,66,0
Enterpreneurial Activities,3899,Male,35,1
Other sources of Income,3570,Female,52,0
Other sources of Income,0,Female,70,0
Other sources of Income,0,Female,90,0
Other sources of Income,0,Male,56,1
Other sources of Income,1885,Female,40,1
Other sources of Income,2605,Male,64,0
Enterpreneurial Activities,0,Female,77,0
Wage/Salaries,9150,Male,42,2
Other sources of Income,80,Female,40,0
Enterpreneurial Activities,0,Male,76,0
Wage/Salaries,765,Male,49,2
Wage/Salaries,787,Male,35,1
Wage/Salaries,5920,Female,47,3
Wage/Salaries,0,Male,46,2
Enterpreneurial Activities,0,Male,62,0
Other sources of Income,300,Female,30,0
Wage/Salaries,40,Male,56,4
Wage/Salaries,615,Male,29,1
Wage/Salaries,590,Male,40,1
Wage/Salaries,390,Male,30,1
Wage/Salaries,440,Male,48,3
Enterpreneurial Activities,10,Female,35,0
Wage/Salaries,80,Male,36,1
Wage/Salaries,200,Male,42,1
Wage/Salaries,3750,Male,36,1
Other sources of Income,6000,Male,50,0
Other sources of Income,900,Male,43,1
Wage/Salaries,390,Male,53,0
Enterpreneurial Activities,170,Male,46,1
Wage/Salaries,1300,Male,58,2
Other sources of Income,0,Male,64,1
Enterpreneurial Activities,0,Female,44,0
Wage/Salaries,0,Female,74,2
Other sources of Income,19250,Male,40,2
Wage/Salaries,310,Male,35,1
Wage/Salaries,0,Male,36,0
Wage/Salaries,460,Female,49,1
Wage/Salaries,0,Male,34,3
Wage/Salaries,7820,Male,50,3
Wage/Salaries,400,Male,44,2
Other sources of Income,8800,Male,41,1
Other sources of Income,7300,Male,62,2
Wage/Salaries,6650,Male,55,4
Enterpreneurial Activities,660,Male,55,1
Wage/Salaries,0,Female,50,2
Enterpreneurial Activities,430,Female,80,0
Wage/Salaries,3040,Female,67,1
Wage/Salaries,0,Female,65,2
Wage/Salaries,0,Male,47,1
Wage/Salaries,350,Male,56,3
Wage/Salaries,760,Male,47,2
Other sources of Income,0,Female,82,0
Other sources of Income,450,Male,70,0
Wage/Salaries,10916,Male,50,2
Wage/Salaries,1440,Male,35,1
Wage/Salaries,30,Male,64,1
Other sources of Income,0,Male,82,0
Other sources of Income,0,Male,57,1
Other sources of Income,30510,Male,55,0
Other sources of Income,20400,Female,40,0
Other sources of Income,0,Male,80,0
Other sources of Income,3310,Female,32,1
Enterpreneurial Activities,3144,Male,34,2
Enterpreneurial Activities,620,Male,37,1
Wage/Salaries,650,Female,65,3
Other sources of Income,20245,Female,33,0
Wage/Salaries,2959,Male,57,4
Wage/Salaries,100,Male,47,1
Wage/Salaries,0,Male,66,2
Wage/Salaries,700,Male,35,1
Wage/Salaries,130,Male,31,1
Wage/Salaries,780,Male,61,2
Wage/Salaries,550,Male,29,1
Wage/Salaries,600,Male,36,1
Wage/Salaries,50,Male,61,1
Wage/Salaries,0,Male,33,1
Other sources of Income,0,Female,69,0
Wage/Salaries,0,Male,73,1
Other sources of Income,0,Female,74,0
Other sources of Income,0,Female,64,1
Enterpreneurial Activities,2295,Male,58,0
Wage/Salaries,378,Male,52,1
Other sources of Income,2110,Male,53,1
Other sources of Income,0,Male,67,1
Other sources of Income,1268,Female,38,1
Enterpreneurial Activities,0,Female,58,1
Wage/Salaries,0,Male,58,4
Wage/Salaries,2200,Male,51,2
Wage/Salaries,62000,Male,46,1
Other sources of Income,28333,Male,50,0
Other sources of Income,58800,Male,74,2
Wage/Salaries,0,Female,63,1
Wage/Salaries,20050,Male,52,1
Wage/Salaries,7290,Female,66,2
Wage/Salaries,950,Male,59,1
Other sources of Income,0,Female,30,1
Other sources of Income,0,Female,73,0
Other sources of Income,0,Female,50,3
Wage/Salaries,0,Female,51,3
Wage/Salaries,0,Male,50,3
Other sources of Income,28784,Female,83,1
Wage/Salaries,31800,Male,50,2
Enterpreneurial Activities,1500,Male,55,0
Other sources of Income,1070,Male,56,3
Wage/Salaries,3800,Male,44,2
Other sources of Income,94000,Female,45,2
Enterpreneurial Activities,0,Male,52,0
Wage/Salaries,1200,Male,53,2
Other sources of Income,0,Female,74,0
Wage/Salaries,0,Male,49,1
Other sources of Income,23000,Male,76,1
Wage/Salaries,370,Male,29,1
Enterpreneurial Activities,20260,Male,46,0
Wage/Salaries,2819,Female,51,2
Enterpreneurial Activities,1400,Male,32,0
Wage/Salaries,83,Male,32,1
Wage/Salaries,250,Male,39,1
Wage/Salaries,325,Male,58,2
Wage/Salaries,350,Male,33,1
Wage/Salaries,90500,Female,72,5
Wage/Salaries,21400,Female,67,3
Wage/Salaries,0,Female,55,1
Wage/Salaries,9900,Male,57,2
Enterpreneurial Activities,15000,Male,57,1
Wage/Salaries,5206,Male,60,1
Other sources of Income,0,Male,70,2
Wage/Salaries,2318,Male,38,1
Other sources of Income,0,Female,73,0
Wage/Salaries,220,Male,37,1
Other sources of Income,12380,Female,73,0
Wage/Salaries,1650,Female,36,1
Enterpreneurial Activities,1020,Male,51,0
Other sources of Income,0,Female,66,1
Other sources of Income,150,Male,60,0
Wage/Salaries,2060,Male,39,2
Other sources of Income,1200,Female,39,1
Enterpreneurial Activities,20,Female,58,1
Enterpreneurial Activities,0,Male,61,1
Enterpreneurial Activities,920,Male,36,0
Wage/Salaries,0,Male,63,1
Wage/Salaries,370,Female,38,1
Other sources of Income,0,Female,68,0
Enterpreneurial Activities,824,Male,51,0
Wage/Salaries,21480,Male,44,2
Wage/Salaries,276,Male,38,1
Wage/Salaries,0,Male,61,1
Wage/Salaries,1050,Male,61,3
Wage/Salaries,9770,Male,56,2
Wage/Salaries,424,Male,42,1
Wage/Salaries,380,Male,48,1
Enterpreneurial Activities,89800,Male,49,0
Enterpreneurial Activities,42000,Male,64,0
Wage/Salaries,30740,Female,46,2
Wage/Salaries,892,Female,44,1
Wage/Salaries,0,Male,42,2
Wage/Salaries,0,Male,56,0
Wage/Salaries,0,Male,48,0
Enterpreneurial Activities,25020,Male,40,2
Enterpreneurial Activities,0,Male,54,0
Wage/Salaries,550,Male,40,2
Wage/Salaries,550,Male,33,1
Other sources of Income,15225,Male,44,1
Wage/Salaries,0,Male,47,1
Wage/Salaries,0,Female,34,1
Enterpreneurial Activities,230,Female,48,1
